"WALTITUD","LONG_DECI","LAT_DECI","titulo"
2367,-78.518147,-7.27995,"PAPA BLANCA"
2372,-78.159133,-7.318909,"PAPA BLANCA"
2269,-79.714839,-4.988,"PAPA BLANCA"
2481,-77.216602,-10.883451,"PAPA BLANCA"
2491,-78.584317,-6.40115,"PAPA BLANCA"
2440,-72.129465,-15.579065,"PAPA BLANCA"
2135,-78.136077,-7.624248,"PAPA BLANCA"
2108,-78.470993,-5.894176,"PAPA BLANCA"
2491,-78.664842,-6.584216,"PAPA BLANCA"
2455,-79.534386,-5.679984,"PAPA BLANCA"
2433,-79.002312,-6.45112,"PAPA BLANCA"
2493,-79.76434,-4.659674,"PAPA BLANCA"
2312,-78.910586,-6.644563,"PAPA BLANCA"
2405,-76.063709,-9.794309,"PAPA BLANCA"
2162,-78.632917,-6.294875,"PAPA BLANCA"
2374,-79.295921,-6.38567,"PAPA BLANCA"
2461,-71.493409,-16.44401,"PAPA BLANCA"
2489,-78.87569,-7.339434,"PAPA BLANCA"
2109,-79.552317,-5.643873,"PAPA BLANCA"
2007,-78.107041,-7.482527,"PAPA BLANCA"
2461,-79.298408,-6.432577,"PAPA BLANCA"
2463,-78.599589,-6.475144,"PAPA BLANCA"
2278,-78.896121,-6.345358,"PAPA BLANCA"
2397,-79.458589,-5.671191,"PAPA BLANCA"
2179,-78.787864,-6.679069,"PAPA BLANCA"
2427,-72.996894,-13.453396,"PAPA BLANCA"
2415,-78.387104,-5.928162,"PAPA BLANCA"
2139,-79.376307,-6.267029,"PAPA BLANCA"
2402,-78.664975,-6.573154,"PAPA BLANCA"
2139,-79.376307,-6.267029,"PAPA BLANCA"
2363,-74.657898,-12.099039,"PAPA BLANCA"
2369,-77.008997,-9.277673,"PAPA BLANCA"
2040,-79.051697,-6.870853,"PAPA BLANCA"
2295,-77.460902,-10.252731,"PAPA BLANCA"
2490,-74.847962,-12.060071,"PAPA BLANCA"
2084,-78.909429,-6.338996,"PAPA BLANCA"
2324,-79.478018,-5.699953,"PAPA BLANCA"
2145,-72.606453,-15.876856,"PAPA BLANCA"
2340,-75.85086,-12.831704,"PAPA BLANCA"
2388,-78.873084,-6.425972,"PAPA BLANCA"
2142,-78.906754,-6.672978,"PAPA BLANCA"
2255,-79.904995,-4.959092,"PAPA BLANCA"
